movieid,title,director,genre,releaseyear,budget_crores,boxoffice_crores,rating,duration_minutes,leadactor,leadactress,language,productioncompany
MOV001,Lagaan,Ashutosh Gowariker,Unknown,2001,50,100,8.1,224,Aamir Khan,Gracy Singh,Hindi,Aamir Khan Productions
MOV002,Kabhi Khushi Kabhie Gham...,Karan Johar,Family Drama,2001,50,100,7.9,210,Shah Rukh Khan,Kajol,Hindi,Dharma Productions
MOV003,M.S. Dhoni: The Untold Story,Neeraj Pandey,Biographical Sports Drama,2016,50,215,7.9,184,Sushant Singh Rajput,Kiara Advani,Hindi,Fox Star Studios
MOV004,Baahubali 2: The Conclusion,S. S. Rajamouli,Epic Fantasy Action,2017,250,1810,8.2,171,Prabhas,Anushka Shetty,Telugu,Arka Media Works
MOV005,Chennai Express,Rohit Shetty,Action Comedy,2013,50,423,6.4,141,Shah Rukh Khan,Deepika Padukone,Hindi,Red Chillies Entertainment
MOV006,Bharat,Ali Abbas Zafar,Drama,2019,100,325,6.8,156,Salman Khan,Katrina Kaif,Hindi,Reel Life Productions
MOV007,Dangal,Nitesh Tiwari,Biographical Sports Drama,2016,70,2140,8.1,161,Aamir Khan,Fatima Sana Shaikh,Hindi,Aamir Khan Productions
MOV008,Sarkar (Tamil),A. R. Murugadoss,Action Thriller,2005,50,250,7.5,173,Vijay,Keerthy Suresh,Tamil,Kalaignar TV
MOV009,PK,Rajkumar Hirani,Satirical Science Fiction Comedy,2014,85,792,8.1,153,Aamir Khan,Anushka Sharma,Hindi,Vinod Chopra Films
MOV010,2.0 (Tamil),S. Shankar,Science Fiction Action,2018,550,800,6.9,147,Rajinikanth,Amy Jackson,Tamil,Lyca Productions
MOV011,Bajirao Mastani,Sanjay Leela Bhansali,Historical Romance,2015,120,565,7.5,158,Ranveer Singh,Deepika Padukone,Hindi,SLB Films
MOV012,Dilwale Dulhania Le Jayenge,Aditya Chopra,Romance,1995,50,250,7.7,189,Shah Rukh Khan,Kajol,Hindi,Yash Raj Films
MOV013,Krrish 3,Rakesh Roshan,Superhero Science Fiction,2013,115,530,5.5,152,Hrithik Roshan,Priyanka Chopra,Hindi,Filmkraft Productions
MOV014,Raees,Rahul Dholakia,Action Thriller,2017,85,395,7.2,143,Shah Rukh Khan,Mahira Khan,Hindi,Red Chillies Entertainment
MOV015,Tiger Zinda Hai,Ali Abbas Zafar,Action Thriller,2017,150,565,6.9,161,Salman Khan,Katrina Kaif,Hindi,Yash Raj Films
MOV016,Baaghi 2,Ahmed Khan,Action Thriller,2018,60,254,6.3,148,Tiger Shroff,Disha Patani,Hindi,Nadiadwala Grandson Entertainment
MOV017,Thugs of Hindostan,Vijay Krishna Acharya,Action-Adventure,2018,300,335,4.5,167,Amitabh Bachchan,Aamir Khan,Hindi,Yash Raj Films
MOV018,Gully Boy,Zoya Akhtar,Musical Drama,2019,40,238,7.8,153,Ranveer Singh,Alia Bhatt,Hindi,Excel Entertainment
MOV019,War,Siddharth Anand,Action Thriller,2019,150,475,6.8,154,Hrithik Roshan,Tiger Shroff,Hindi,Yash Raj Films
MOV020,Tanaji: The Unsung Warrior,Om Raut,Historical Action,2020,150,368,7.1,135,Ajay Devgn,Kajol,Hindi,Ajay Devgn FFilms
MOV022,K.G.F: Chapter 1,Prashanth Neel,Action Drama,2018,50,250,7.9,156,Yash,Srinidhi Shetty,Kannada,Hombale Films
MOV023,Sye Raa Narasimha Reddy,Surender Reddy,Historical Action,2019,200,265,7.1,167,Chiranjeevi,Nayanthara,Telugu,Konidela Production Company
MOV024,Avengers: Endgame (Dubbed),"Anthony Russo, Joseph Russo",Superhero,2019,50,250,8.4,181,Robert Downey Jr.,Scarlett Johansson,"English (Dubbed in Telugu, Kannada, Hindi)",Marvel Studios
MOV025,Jersey,Gowtam Tinnanuri,Sports Drama,2019,20,45,7.8,160,Nani,Shraddha Srinath,Telugu,Sithara Entertainments
MOV026,Pailwaan,S. Krishna,Sports Action,2019,30,55,6.8,166,Sudeep,Aakanksha Singh,Kannada,RRR Motion Pictures
MOV027,Geetha Govindam,Parasuram,Romantic Comedy,2018,10,130,7.4,148,Vijay Deverakonda,Rashmika Mandanna,Telugu,GA2 Pictures
MOV028,Yajamana,"V. Harikrishna, P. Kumar",Action Drama,2019,20,40,6.3,164,Darshan,Rashmika Mandanna,Kannada,Media House Studio
MOV029,Dear Comrade,Bharat Kamma,Romantic Drama,2019,15,35,7.1,170,Vijay Deverakonda,Rashmika Mandanna,Telugu,Mythri Movie Makers
MOV030,Gentleman,Jadesh Kumar,Action Thriller,2019,10,20,6.1,145,Puneeth Rajkumar,Nishvika Naidu,Kannada,Sri Jagadguru Movies
MOV031,Saaho,Sujeeth,Action Thriller,2019,300,450,6.5,170,Prabhas,Shraddha Kapoor,"Telugu (Dubbed in Hindi, Kannada)",UV Creations
MOV032,Kavaludaari,Hemanth M. Rao,Thriller,2019,5,10,7.4,118,Rishi,Anant Nag,Kannada,PNK Productions
MOV033,96 (Kannada Dubbed),C. Premkumar,Romantic Drama,2019,50,250,7.9,158,Vijay Sethupathi,Trisha,Kannada (Dubbed from Tamil),Madras Enterprises
MOV034,Sarileru Neekevvaru,Anil Ravipudi,Action Comedy,2020,75,260,7.1,169,Mahesh Babu,Rashmika Mandanna,Telugu,AK Entertainments
MOV035,Dabangg 3 (Dubbed),Prabhu Deva,Action Comedy,2019,50,250,5.8,159,Salman Khan,Sonakshi Sinha,Telugu (Dubbed from Hindi),S. K. Film Enterprises
MOV036,Bheeshma,Venky Kudumula,Romantic Comedy,2020,20,50,7.4,145,Nithiin,Rashmika Mandanna,Telugu,Sithara Entertainments
MOV037,Shylock (Kannada Dubbed),Ajai Vasudev,Action Thriller,2020,50,250,6.8,164,Mammootty,Rajkiran,Kannada (Dubbed from Malayalam),Vrindaavan Films
MOV038,Love Aaj Kal (Dubbed),Imtiaz Ali,Romantic Drama,2020,50,250,4.4,141,Kartik Aaryan,Sara Ali Khan,Telugu (Dubbed from Hindi),Reliance Entertainment
MOV039,Forensic (Kannada Dubbed),"Akhil Paul, Anas Khan",Thriller,2020,50,250,6.9,129,Tovino Thomas,Mamta Mohandas,Kannada (Dubbed from Malayalam),Evil Eye Pictures
MOV040,Trance (Kannada Dubbed),Anwar Rasheed,Psychological Thriller,2020,50,250,7.1,162,Fahadh Faasil,Nazriya Nazim,Kannada (Dubbed from Malayalam),Dulquer Salmaan Productions
MOV044,Baahubali: The Beginning,S. S. Rajamouli,Epic Fantasy Action,2015,180,650,8.1,159,Prabhas,Tamannaah,Telugu,Arka Media Works
MOV045,3 Idiots,Rajkumar Hirani,Comedy Drama,2009,35,460,8.4,171,Aamir Khan,Kareena Kapoor,Hindi,Vidhu Vinod Chopra Productions
MOV046,Aruvi,Arun Prabu Purushothaman,Drama,2016,1,5,8.1,144,Aditi Balan,Lakshmi Gopalswamy,Tamil,Dream Warrior Pictures
MOV047,Dabangg,Abhinav Kashyap,Action Comedy,2010,30,215,6.3,126,Salman Khan,Sonakshi Sinha,Hindi,Arbaaz Khan Productions
MOV048,The Dirty Picture,Milan Luthria,Biographical Drama,2011,18,85,6.8,144,Vidya Balan,Naseeruddin Shah,Hindi,Balaji Motion Pictures
MOV049,U Turn,Pawan Kumar,Thriller,2016,5,20,7.9,128,Shraddha Srinath,Dilip Raj,Kannada,PRK Productions
MOV050,Yeh Jawaani Hai Deewani,Ayan Mukerji,Romantic Comedy,2013,50,318,7.5,159,Ranbir Kapoor,Deepika Padukone,Hindi,Dharma Productions
MOV051,Kahaani,Sujoy Ghosh,Thriller,2012,8,79,8.1,122,Vidya Balan,Parambrata Chatterjee,Hindi,Boundscript Motion Pictures
MOV053,Hindi Medium,Saket Chaudhary,Comedy Drama,2017,23,69,7.5,132,Irrfan Khan,Saba Qamar,Hindi,T-Series
MOV054,Toilet: Ek Prem Katha,Shree Narayan Singh,Satirical Comedy,2017,24,216,7.3,155,Akshay Kumar,Bhumi Pednekar,Hindi,Viacom 18 Motion Pictures
MOV055,Badhaai Ho,Amit Ravindernath Sharma,Comedy Drama,2018,22,221,7.9,124,Ayushmann Khurrana,Sanya Malhotra,Hindi,Junglee Pictures
